pdb,Hchain,Lchain,antigen_chain,delta_g,temperature,pdb_exists
5anm,D,C,E,-15.975251068647337,,True
6mi2,D,E,F,-9.769557801336566,,True
2fjg,H,L,W,-10.92,37.0,True
3bgf,H,L,S,-10.34,25.0,True
3ifl,H,L,P,-11.01,25.0,True
2zpk,H,L,P,-7.95,25.0,True
4py8,I,J,B | A,-12.27819680469229,,True
1hez,B,A,E,-9.32,25.0,True
5xxy,H,L,A,-10.916327402549168,,True
4j4p,H,L,A,-10.092595930642474,,True
6df2,H,L,D,-9.880679659658352,,True
3eyf,B,A,E,-9.3,24.0,True
5aaw,H,h,I,-11.411241859183765,,True
5wi9,F,E,B,-13.731800994840723,,True
3a6c,H,L,Y,-11.28,30.0,True
3q3g,D,C,G,-11.32,25.0,True
4jzj,A,B,D,-11.456840020052727,,True
6ii9,M,N,C,-10.521320906302677,,True
5kvf,H,L,E,-10.224804843093384,,True
5e8d,H,L,A,-11.169184562689624,,True
5ush,H,L,X,-12.037965345328766,,True
4fqy,H,L,B | A,-11.81104868630058,,True
3fku,X,x,F | E,-13.48,25.0,True
5i5k,H,L,B,-14.671745777572,,True
4mhj,W,V,S,-12.27819680469229,,True
4fqv,H,L,B | A,-12.22172707862036,,True
3ixt,H,L,P,-9.02,,True
3eo1,B,A,C,-13.09,,True
6bb4,H,L,P,-10.65812868023894,,True
2fjh,H,L,V,-11.94,37.0,True
2w9e,H,L,A,-13.63,,True
2fr4,H,L,N,-7.3641077518219635,,True
6eyo,H,L,A,-14.596006591193015,,True
3ifp,H,L,P,-10.38,25.0,True
2hfg,H,L,R,-12.57,25.0,True
1i7z,B,A,A,-8.728351841232218,,True
3idy,B,C,A,-11.450944611411623,,True
4fqr,e,f,E,-9.54970862587178,,True
2vxs,H,L,B,-11.83,,True
5fcu,H,L,G,-11.216608560689204,,True
2b2x,H,L,A,-11.95,,True
4wht,G,H,g,-11.053614350904786,,True
3etb,G,g,K,-14.26,25.0,True
3i02,B,A,A,-10.26304286359873,,True
5wux,A,B,F,-14.40948636554907,,True
2j6e,I,M,B,-8.488120381868695,,True
4hlz,I,J,D | C,-11.867518412372508,,True
6a67,C,D,B,-12.275831597239875,,True
2mpa,H,L,P,-10.969830253718456,,True
1m7d,B,A,A,-8.49807832517898,,True
3l5x,H,L,A,-13.05,25.0,True
2r1y,B,A,B,-6.150883160475254,,True
4fqr,s,t,S,-9.54970862587178,,True
1y0l,H,L,H,-12.27819680469229,,True
3fn0,H,L,P,-5.99986366241171,,True
2vxq,H,L,A,-13.58,25.0,True
4j8r,D,C,J,-10.503274322962254,,True
1jrh,H,L,I,-10.7,25.0,True
6b3k,H,L,R,-9.441686078959169,,True
5wtt,A,B,C,-9.006821321101087,,True
4zff,A,B,C,-11.324631107601816,,True
5kzp,G,K,D,-9.761032709220396,,True
2j5l,C,B,A,-9.7,,True
3lhp,I,M,T,-15.17,,True
5i8c,A,B,C,-10.371065410511342,,True
5aaw,B,b,J,-11.411241859183765,,True
2vxs,I,M,A,-11.83,,True
3hi6,X,Y,B,-7.26,,True
1mjj,H,L,H,-11.920149456768272,,True
5w1m,D,C,T,-10.624477030127814,,True
4r2g,N,M,A,-10.188885744060974,,True
6b0g,D,C,E,-10.243615428706017,,True
3eyf,D,C,F,-9.3,24.0,True
6fgb,H,L,A | B,-13.955054682819997,,True
3ghe,H,L,P,-8.03,25.0,True
5czv,H,L,A,-12.991531042419238,,True
4jfz,H,L,P,-9.752628544480904,,True
2qr0,T,S,U,-11.5,37.0,True
5j74,B,b,b,-11.897908852190566,,True
